ID,CUBE_ID,COMBINATION_ID
22715,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_153633_REF
22716,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_441992_REF
22717,F_08_01_a_REF_FINREP_3_0,F_08_01_a_REF_FINREP_3_0_45837_REF
22718,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155598_REF
22719,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_456860_REF
22720,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_110889_REF
22721,F_19_00_c_REF_FINREP_3_0,F_19_00_c_REF_FINREP_3_0_430519_REF
22722,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430393_REF
22723,F_15_00_b_REF_FINREP_3_0,F_15_00_b_REF_FINREP_3_0_67076_REF
22724,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_154337_REF
22725,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_454944_REF
22726,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0_434056_REF
22727,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_431076_REF
22728,F_25_02_a_REF_FINREP_3_0,F_25_02_a_REF_FINREP_3_0_433587_REF
22729,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_66920_REF
22730,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_441966_REF
22731,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_153979_REF
22732,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_441780_REF
22733,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0_154828_REF
22734,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430169_REF
22735,F_04_03_1_REF_FINREP_3_0,F_04_03_1_REF_FINREP_3_0_152948_REF
